Artifact Number,Unit,Depth,Level,Material,Variety of Material,Type of Ware,Provenance,Period,Form,Vessel Part,Number of Pieces,Weight,Length,Width,Thickness,Thickness of base (complete profile),Height of foot rim,Thickness (foot rim),Diameter,MNV,Color Exterior Earthenware (Munsell),Color Interior Earthenware (Munsell),Color Profile Earthenware (Munsell),Remarks,Excavation Date
STABW027,13,0-19,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Bowl,Body,1,1,1.1,0.8,0.3,,,,,,,,,Yuan. Rounded lines that almost appear Black as opposed to Blue,
STABW028,84,30-40,4,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,16th century17th century,Plate,Rim,1,1,2.1,2,0.1,,,,15,,,,,Late Ming. Everted rim. Band of checked lines in a mat pattern with shade of light blue as background. Two dots underneath the band.,
STABW029,53,Unknown,3,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Bowl,Rim,1,2,2.9,2.2,0.2,,,,15.5,,,,,Yuan. Everted Rim. Exterior- Small flowers and 3 vertical line that originate from a leafy plant Interior- Thick blue line along the edge with an unknown pattern beneath,
STABW030,F20-1,50,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century15th century16th century,Bowl,Body,1,1,1.8,1.5,0.2,,,,,,,,,Dark spot of blue on exterior surface.,
STABW031,Salvage,,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Bowl,Base,1,182,9.9,9.4,1,,1.2,1.1,6.2,,,,,Two underglazed blue circled lines around the center of the base on the interior. The motif in the center of the bowl is that of enlongated swirly clouds. Glaze on the exterior of the footring. The bottom of the base and footring underneath is unglazed. The footring is also slightly beveled. Qingbai glaze.,
STABW032,67,20-30,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,16th century17th century,Cup,Base,1,12,4.9,2.9,0.4,,1,0.3,4,,,,,16th Century. Exterior- Large flower (cloud pattern/landscape?) Interior-Design incomplete.,
STABW033,82,30-40,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century15th century16th century17th century,Bowl,Body,1,6,4.8,1.3,0.4,,,,,,,,,Yuan/Ming. Frame Design on exterior,
STABW034,H17-4,30-50,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,15th century16th century,Bowl,Body,1,1,2.1,1.7,0.2,,,,,,,,,Middle Ming. Exterior- Possibly a depiction of a landscape part of an architectural structure.,
STABW035,NWT1-U3A,Unknown,2,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century15th century,Bowl,Base,1,1,2,1.4,0.3,,,,,,,,,Early Ming. Either a flower or a dragon-like design,
STABW036,NWT1-U3A,Unknown,2,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,16th century17th century,Bowl,Base,1,1,1.5,1.4,0.3,,,,,,,,,Late Ming. Square-like geometric pattern. Thick band of blue at the edge of the sherd,
STABW037,G20-4,50-70,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century15th century16th century,Bowl,Body,1,1,1,1,0.2,,,,,,,,,Horizontal line across the body of the sherd with a small pigment of blue at the end of the line,
STABW038,1003B,Unknown,3,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,15th century16th century,Bowl,Body,1,3,2.2,1.8,0.6,,,,,,,,,Middle Ming. Interior- Repetitive swirl patterns closely packed together. Exterior- Double blue line with a leaf motif,
STABW039,Salvage,,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Bowl,Rim & Base (complete profile),1,353,15.7,12.7,0.6,1.2,1.1,1,18,,,,,Yuan. Qingbai glaze. Classic scroll underneath the rim and beneath this row of scrolls are two parallel lines encircling the rim of the bowl. Everted rim. In the center of the bowl within two concentric circles is the central motif of lotus plant with two lotus flowers. On the exterior is a band of lotus panels with a pearl within each panel. Two parallel lines above this row of lotus panels. Frill swirly leaves and hibiscus or trumpet-like flowers within a row panel on the exterior under the rim. Base is beveled and partially glaze on the exterior of the footring underneath and bottom of base are unglazed.,
STABW040,59,Unknown,5,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,15th century16th century,Bowl,Rim,1,11,5.8,5,0.4,,,,18,,,,,Middle Ming. Everted rim. Exterior- Swirly cloud patterns across the surface. Interior- Design unknown,
STABW041,59,Unknown,5,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,15th century16th century,Bowl,Rim,1,9,6.4,3.4,0.3,,,,18,,,,,Middle Ming. Everted rim. Exterior- Flower with 4 petals above a frame design. Interior- Vines closer to the rim,
STABW042,100A,Unknown,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Bowl,Rim,1,1,1.5,0.8,0.3,,,,8,,,,,Yuan. Inverted Rim. Exterior- Cloud design,
STABW043,27,Unknown,1,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Bowl,Rim,1,2,2,1.3,0.3,,,,19,,,,,Yuan. Inverted Rim. Design unknown,
STABW044,1001B,0-30,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,15th century16th century17th century,Bowl,Body,1,2,1.9,1.7,0.3,,,,,,,,,Ming. Thick blue line on the surface of the sherd,
STABW045,25,Unknown,1,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,15th century16th century,Cup,Rim,1,1,1.5,1.3,0.2,,,,10,,,,,Early Ming. Straight Rim. Exterior- Horizontal line parallel to rim with a triangular patch of blue below. Interior- Faint curve line could be part of a vine or cloud design.,
STABW046,25,Unknown,1,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,15th century16th century,Bowl,Body,1,1,1.7,1.1,0.3,,,,,,,,,Early Ming. Exterior- Sunflower/Chrysanthemum flower design. Interior-Thick vertitcal line of blue,
STABW047,11,Unknown,2,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,15th century16th century,Cup,Rim,1,1,1.9,1.3,0.2,,,,10,,,,,Middle Ming. Everted Rim. Interior and Exterior- Vine designs,
STABW048,11,Unknown,2,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,15th century16th century,Cup,Rim,1,1,1.3,1.2,0.2,,,,8.5,,,,,Middle Ming. Inverted Rim. Exterior- Thick strokes of blue in a frame design along the rim. Interior- Thick stroke of blue along edge of rim with an unknown figure on the surface of the sherd,
STABW049,E21-4,30-40,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century15th century16th century,Bowl,Body,1,2,1.9,1.3,0.8,,,,,,,,,Interior- One vertical line of blue. Exterior- Three parallel lines of blue.,
STABW050,E21-4,30-40,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,15th century16th century17th century,Jar,Body,1,1,1.9,1.3,0.4,,,,,,,,,Ming. Exterior- Possibly a bird with leaf design,
STABW051,H20-2,30-50,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,16th century17th century,Bowl,Base,1,50,5.4,4,0.8,,3.6,1.6,23,,,,,Swatow? Late Ming. Two Horizontal lines along the foot of the bowl.,
STABW052,52,Unknown,1,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century15th century16th century,Jarlet,Body,1,1,1.7,1.6,0.4,,,,,,,,,Exterior- Flower design with a stalk,
STABW053,52,Unknown,1,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century15th century16th century,Jarlet,Body,1,1,1.8,1.8,0.4,,,,,,,,,Exterior- Hut or Small House,
STABW054,NWT1-U3A,Unknown,2,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Cup,Rim,1,4,3.8,3.3,0.2,,,,8.5,,,,,Yuan. Everted Rim. Interior- Cloud scroll along the rim Exterior- Leafy Vines,
STABW055,NWT1-U3A,Unknown,2,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century15th century16th century17th century,Bowl,Rim,1,1,1.9,1.7,0.2,,,,12,,,,,Yuan/Ming. Inverted Rim. Exterior- Sunflower motifs on surface with a zig-zag design close to the edge of the rim. Interior- Blue line parallel to the edge fo the rim leaves and part of flower design.,
STABW056,F16-4,70-110,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century15th century16th century,Bowl,Rim,1,1,1.5,1.3,0.3,,,,13,,,,,Straight Rim. Interior- Faint blue lines Exterior- Design unknown,
STABW057,F16-4,70-110,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century15th century16th century,Cup,Rim,1,1,1.8,1.2,0.1,,,,10,,,,,Inverted Rim. Exterior- Blue line parallel to the edge of the rim. Interior- Faint blue line parallel to the edge of the rim with possibly a chinese scroll design.,
STABW058,2007,Unknown,2,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century15th century16th century,Bowl,Body,1,1,1.4,1.3,0.2,,,,,,,,,Exterior- Plant with a stalk and leaves growing out of the stalk. Interior- Design unknown,
STABW059,46,Unknown,2,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Jarlet,Body,1,2,3.2,0.7,0.3,,,,,,,,,Yuan. Leafy Vines on Exterior side of the sherd.,
STABW060,F17-2,30-50,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century15th century16th century,Bowl,Base,1,1,1.3,0.7,0.3,,0.4,,,,,,,Curved line which looks like it is running along the edge of the base. Several dots of blue,
STABW061,1002,60-120,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century15th century16th century,Bowl,Body,1,1,1.4,1,0.3,,,,,,,,,Design unknown but made on both interior and exterior,
STABW062,1008,Unknown,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century15th century16th century,Cup,Rim,1,1,1.1,1.4,0.2,,,,5,,,,,Inverted Rim. Chrysanthemum Flower on the exterior of the rim. Interior: Faint blue line,
STABW063,E22-1,30-50,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century15th century16th century,Bowl,Rim,1,1,2.2,2,0.2,,,,13.5,,,,,Exterior- Tree-like bushes?,
STABW064,E22-1,30-50,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,16th century17th century,Bowl,Body,1,1,2,1.8,0.2,,,,,,,,,Interior- Repetitive arches,
STABW065,E22-1,30-50,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century15th century16th century,Bowl,Body,1,1,1.1,1,0.3,,,,,,,,,Brick Line design,
STABW066,E22-1,30-50,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,15th century16th century17th century,Cup,Rim,1,1,1.1,1,0.2,,,,11,,,,,Ming. Straight Rim. Design unknown,
STABW067,E22-3,30-50,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century15th century16th century,Bowl,Rim,1,2,1.7,1.5,0.4,,,,11,,,,,Interior- Blue line that runs along the rim. Exterior- Flower design?,
STABW068,E22-3,30-50,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century15th century16th century,Cup,Body,1,1,1.7,1,0.3,,,,,,,,,Interior- Blue dot in the centre. Exterior- Small leaf design,
STABW069,E22-3,30-50,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century15th century16th century,Unknown,Body,1,1,1,0.6,0.6,,,,,,,,,Too small But patch of blue on surface of sherd.,
STABW070,86,30-40,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century15th century16th century,Unknown,Body,1,1,0.9,0.6,0.2,,,,,,,,,Could be a vine or scroll. Too small. Design indeterminate.,
STABW071,81,0-30,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,15th century16th century,Jar,Body,1,5,3.3,1.5,0.9,,,,,,,,,Middle Ming. No visible design on both sides. 2 horizontal lines on exterior of sherd,
STABW072,E17-4,30-?,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century15th century,Jarlet,Body,1,3,2.5,1.9,0.3,,,,,,,,,Early Ming. Exterior- Part of a leaf vine with a horizontal line below which could possibly be from a frame.,
STABW073,86,30-50,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,16th century17th century,Bowl,Rim,1,6,3.7,2.3,0.3,,,,16.5,,,,,Late Ming. Everted Rim. Interior- Hand painted thin brush strokes within a band followed by 2 parallel single lines. Exterior- Possibly part of water lilies,
STABW074,F20-1,50,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Bowl,Base,1,21,4.8,3.3,0.5,,0.7,0.5,3,,,,,Yuan. Peony flower on the base of the vessel with 5 petals painted in a darker shade of blue as opposed to the other petals.,
STABW075,5,Unknown,1,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,16th century17th century,Bowl,Base,1,31,5,3.8,1.2,,2.2,0.6,12,,,,,Late Ming. Interior-8 Concentric circles parallel to each other. Exterior- Double line at the base of the base possibly Petal-panels above the foot of the base. Orange foot rim.,
STABW076,G21-4,30-50,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,16th century17th century,Bowl,Rim,1,5,2.8,2.3,0.4,,,,16,,,,,Late Ming. Everted Rim. Exterior- Single line along the edge of the rim. Possibly a grape and floral vine on the surface of the sherd. Interior- Single line along the edge of the rim followed by a single curved line across the sherd.,
STABW077,G21-4,30-50,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Bowl,Rim,1,1,1,0.8,0.2,,,,14,,,,,Yuan. Straight Rim. Exterior- Double line along the edge of the sherd followed by a flower design on the sherd. Interior- A thick single line painted parallel to the edge of the rim.,
STABW078,29,Unknown,3,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,16th century17th century,Bowl,Rim,1,3,3.1,2.6,0.2,,,,21,,,,,Late Ming. Straight rim. Exterior- Thick blue single line painted parallel to the edge of the rim. Followed by decoration that could possibly be part of a grape vine. Interior- Thick blue single line painted parallel to the edge of the rim.,
STABW079,48,Unknown,3,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Cup,Rim,1,6,3.9,3.3,0.4,,,,8,,,,,Yuan. Everted Rim. Exterior- Leaf vine. Interior- Repetitive spiral pattern along the edge of the rim.  Fits STABW474.,
STABW080,NWT1-3B,Unknown,2,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,16th century17th century,Cup,Body,1,9,4.7,3,0.4,,,,,,,,,Ming. Exterior- Leaf vine with pointed leaves with a single line at the bottom of the vine. Interior- Slight decoration along the edge of the sherd the interior also resembles part of a base with a single circular blue line enclosing an unknown design,
STABW081,NWT1-3B,Unknown,2,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Bowl,Body,1,3,3.3,1.8,0.4,,,,,,,,,Yuan. Exterior- Leaf vine with pointed leaves. Interior- No visible design.,
STABW082,NWT1-3B,Unknown,2,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Bowl,Body,1,1,1.7,0.7,0.3,,,,,,,,,Yuan. Exterior- Part of a chrysanthemum design on the surface,
STABW083,11,,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,16th century17th century,Bowl,Base,1,30,5.1,4.9,0.6,,1.6,0.6,7,,,,,Late Ming. Exterior- Curved line that could be part of the petal of a large flower. At the base of the rim there could possibly be a chinese character (Ming 明). Interior- No visible design.,
STABW084,11A,Unknown,2,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century15th century16th century17th century,Bowl,Body,1,10,4.2,3.9,0.5,,,,,,,,,Yuan/Ming. Exterior- Leafy grape vine. Grapes are indicated by a thicker spot of blue applied along the vine. Interior- No visible design.,
STABW085,2002,Unknown,1,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Cup,Rim,1,5,3.6,2.4,0.4,,,,9,,,,,Yuan. Everted Rim. Interior- Key fret design enclosed within a band at the edge of the rim. Exterior- Leaf Vine design enclosed within a band across the body of the sherd.,
STABW086,53,Unknown,1,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,15th century16th century17th century,Bowl,Rim,1,1,1.8,0.9,0.2,,,,11,,,,,Ming. Straight Rim. Exterior- A single blue line parallel to the edge of the rim followed by an unknown design. Interior- A thick single blue line parallel to the edge of the rim followed by possibly a leaf vine,
STABW087,5,Unknown,2,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century15th century,Cup,Base,1,6,3.4,1.6,0.4,,0.5,0.5,3,,,,,Early Ming. Interior- Vine with pointed leaves enclosed in a circular band at the round portion of the base. Exterior- No visible design,
STABW088,37,Unknown,1,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Jar,Body,1,4,3.9,1.9,0.5,,,,,,,,,Yuan. Exterior- Cloud design followed by a thick single blue line followed by a swirly spiral design.,
STABW089,G19-3,30-50,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,15th century16th century,Bowl,Rim,1,6,4.3,2.4,0.4,,,,21,,,,,Middle Ming. Inverted rim. Exterior- Double blue line along the edge of the rim followed by plants with pointed/jagged petals. Interior- Double blue line parallel to the edge of the rim.,
STABW090,78,30-40,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,16th century17th century,Plate,Base,1,9,4.3,3,0.4,,0.6,,,,,,,Late Ming. Interior- Depiction of a landscape. A tree followed by a thick band of blue followed  by the roof of a Chinese house,
STABW091,NWT1-1A,30-65,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,16th century17th century,Bowl,Body,1,1,1.6,0.8,0.3,,,,,,,,,Late Ming. Interior- Thick speck of blue design unknown,
STABW092,2002,0-30,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Bowl,Body,1,6,3.2,3.2,0.4,,,,,,,,,Yuan. Exterior- Dragon chasing after a pearl enclosed within the band of single lines.,
STABW093,2002,0-30,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,16th century17th century,Plate,Base,1,6,4,2.7,0.4,,,,,,,,,Late Ming. Interior- Part of a landscape scene with possibly birds and plants which bear fruit,
STABW094,2002,0-30,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,16th century17th century,Bowl,Body,1,4,2.4,2.1,0.4,,,,,,,,,Late Ming. Exterior- Bird like creature. Interior- Unknown design.,
STABW095,2002,0-30,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,15th century16th century17th century,Bowl,Body,1,3,3.1,1.5,0.5,,,,,,,,,Ming. Interior and exterior- Possibly from a petal-panel design.,
STABW096,2002,0-30,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Bowl,Body,1,1,1.2,1.1,0.2,,,,,,,,,Yuan. Exterior-Thin Blue line followed by a thick coat of blue from an incomplete design.,
STABW097,37,Unknown,1,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,16th century17th century,Bowl,Body,1,4,2.9,1.1,0.5,,,,,,,,,Late Ming. Exterior- A single line enclosing an unknown design. Interior- Curved single line encircling a fruit (grapes?) or flower design.,
STABW098,37,Unknown,1,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,15th century16th century17th century,Bowl,Body,1,1,1.4,1,0.3,,,,,,,,,Ming. Interior- Petals from a flower (possibly chrysanthemum) Exterior- One dot of blue,
STABW099,75,40-50,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Bowl,Body,1,4,1.9,1.8,0.8,,,,,,,,,Yuan? One faint stroke of blue on one side of the sherd (possibly interior).,
STABW100,F17-3,30-100,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Bowl,Body,1,8,3.4,3.1,0.8,,,,,,,,,Yuan. Interior- Double parallel blue lines the one above appears to be thicker than the one below.,
STABW101,F17-3,30-100,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,15th century16th century17th century,Bowl,Body,1,1,1.3,1.2,0.3,,,,,,,,,Ming. Design unknown. 2 patches of blue on exterior.,
STABW102,E21-2,50,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,16th century17th century,Bowl,Body,1,1,1.5,1.1,0.3,,,,,,,,,Late Ming (16th C) Interior- Possibly from the depiction of an animal or a plant. Exterior- Double lines visible on the edge of the sherd.,
STABW103,84,30-40,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Cup,Rim,1,1,1.8,1.3,0.1,,,,10,,,,,Yuan. Inverted Rim. Interior- A single line followed by possibly a classic scroll design. Exterior- Thick single blue line followed by possibly a leaf scroll (?),
